2026-09-18T16:02:43.838660Z	info	access	connection complete	src.addr=10.42.0.14:46530 src.workload="l11-k6-ambient-ztunnel-h67q9" src.namespace="capacity-cascade-l11-load" dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=322 bytes_recv=275 duration="250ms"
2026-09-18T16:02:43.889023Z	info	access	connection complete	src.addr=10.42.0.14:46540 src.workload="l11-k6-ambient-ztunnel-h67q9" src.namespace="capacity-cascade-l11-load" dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=322 bytes_recv=275 duration="250ms"
2026-09-18T16:02:43.938426Z	info	access	connection complete	src.addr=10.42.0.14:46548 src.workload="l11-k6-ambient-ztunnel-h67q9" src.namespace="capacity-cascade-l11-load" dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=322 bytes_recv=275 duration="250ms"
2026-09-18T16:02:43.988750Z	info	access	connection complete	src.addr=10.42.0.14:46550 src.workload="l11-k6-ambient-ztunnel-h67q9" src.namespace="capacity-cascade-l11-load" dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=322 bytes_recv=275 duration="250ms"
2026-09-18T16:02:44.039049Z	info	access	connection complete	src.addr=10.42.0.14:46566 src.workload="l11-k6-ambient-ztunnel-h67q9" src.namespace="capacity-cascade-l11-load" dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=322 bytes_recv=275 duration="250ms"
2026-09-18T16:02:44.089672Z	info	access	connection complete	src.addr=10.42.0.14:46576 src.workload="l11-k6-ambient-ztunnel-h67q9" src.namespace="capacity-cascade-l11-load" dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=322 bytes_recv=275 duration="251ms"
2026-09-18T16:02:44.140192Z	info	access	connection complete	src.addr=10.42.0.14:46582 src.workload="l11-k6-ambient-ztunnel-h67q9" src.namespace="capacity-cascade-l11-load" dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=322 bytes_recv=275 duration="251ms"
2026-09-18T16:02:44.189124Z	info	access	connection complete	src.addr=10.42.0.14:46594 src.workload="l11-k6-ambient-ztunnel-h67q9" src.namespace="capacity-cascade-l11-load" dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=322 bytes_recv=275 duration="251ms"
2026-09-18T16:02:44.238883Z	info	access	connection complete	src.addr=10.42.0.14:46600 src.workload="l11-k6-ambient-ztunnel-h67q9" src.namespace="capacity-cascade-l11-load" dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=322 bytes_recv=275 duration="250ms"
2026-09-18T16:02:44.289321Z	info	access	connection complete	src.addr=10.42.0.14:46612 src.workload="l11-k6-ambient-ztunnel-h67q9" src.namespace="capacity-cascade-l11-load" dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=322 bytes_recv=275 duration="250ms"
2026-09-18T16:02:44.339485Z	info	access	connection complete	src.addr=10.42.0.14:46620 src.workload="l11-k6-ambient-ztunnel-h67q9" src.namespace="capacity-cascade-l11-load" dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=322 bytes_recv=275 duration="251ms"
2026-09-18T16:02:44.390011Z	info	access	connection complete	src.addr=10.42.0.14:46624 src.workload="l11-k6-ambient-ztunnel-h67q9" src.namespace="capacity-cascade-l11-load" dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=322 bytes_recv=275 duration="251ms"
2026-09-18T16:02:44.439401Z	info	access	connection complete	src.addr=10.42.0.14:46634 src.workload="l11-k6-ambient-ztunnel-h67q9" src.namespace="capacity-cascade-l11-load" dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=322 bytes_recv=275 duration="251ms"
2026-09-18T16:02:44.489756Z	info	access	connection complete	src.addr=10.42.0.14:46650 src.workload="l11-k6-ambient-ztunnel-h67q9" src.namespace="capacity-cascade-l11-load" dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=322 bytes_recv=275 duration="251ms"
2026-09-18T16:02:44.538415Z	info	access	connection complete	src.addr=10.42.0.14:46666 src.workload="l11-k6-ambient-ztunnel-h67q9" src.namespace="capacity-cascade-l11-load" dst.addr=10.42.0.12:8080 dst.service="auth-sim-ambient.capacity-cascade-l11-ambient.svc.cluster.local" dst.workload="auth-sim-ambient-d495ff57-v9p86" dst.namespace="capacity-cascade-l11-ambient" direction="inbound" bytes_sent=322 bytes_recv=275 duration="250ms"
